Date,MI/GAL
10,40.924
10,40.361
10,39.671
10,32.604
10,41.813
10,40.370
10,42.598
11,32.836
11,21.105
12,24.421
12,29.073
12,35.018
12,25.531
1,34.498
1,26.064
1,25.017
1,37.368
2,26.047
2,27.926
2,29.687
2,25.928
3,29.921
3,29.232
4,27.355
4,34.059
4,38.510
5,30.654
5,31.970
5,27.195
5,38.144
5,30.931
6,33.736
6,32.115
6,36.942
6,30.724
7,32.739
7,35.965
7,31.456
7,33.097
7,36.463
7,36.324
8,32.703
8,34.568
8,34.007
8,40.249
8,37.970
8,32.370
9,30.595
9,48.581
9,41.971
9,38.145
9,31.575
9,40.564
9,43.811
9,35.296
9,31.979
9,38.132
9,36.201
9,36.049
10,36.139
10,31.150
10,35.368
10,32.328
10,32.466
11,32.170
11,31.382
11,26.876
11,26.895
12,24.271
12,27.687
12,26.354
12,26.983
12,32.740
12,26.468
1,29.502
1,29.358
1,28.057
1,26.593
2,25.310
2,30.171
2,37.442
2,28.488
2,26.845
3,30.040
3,30.194
3,34.286
3,33.696
3,32.181
3,30.743
4,29.526
4,29.821
4,32.305
4,28.281
4,32.117
5,32.051
5,30.511
5,31.556
5,29.136
5,39.349
5,37.417
5,30.167
5,33.956
5,33.437
6,25.637
6,32.025
6,32.563
6,35.205
6,37.487
7,29.718
7,28.734
7,30.514
7,34.468
7,33.373
7,34.915
7,33.273
8,34.969
8,36.465
8,35.274
8,33.538
8,28.176
8,33.991
8,33.031
9,32.805
9,31.523
9,32.321
9,26.920
9,37.706
9,31.986
9,43.273
9,37.487
9,41.059
9,34.752
9,38.442
9,41.560
9,32.026
9,34.623
9,37.534
9,34.856
9,41.465
9,33.648
9,37.368
9,37.345
9,35.282
9,37.860
9,29.784
9,35.564
9,35.829
9,23.493
9,31.913
9,28.686
10,31.703
10,32.482
10,30.662
11,30.578
11,30.785
11,29.838
12,30.546
12,28.725
12,30.892
12,30.725
12,29.162
1,25.927
1,23.633
1,30.218
1,26.625
1,25.116
2,28.400
2,28.226
2,28.362
2,24.344
3,29.815
3,24.463
