Item1,Item2,Item3
10,3806.5,1892.402
11,1944.5,1456.689
12,2310.714,1654.371
1,1656.286,1774.477
2,1922,1534.194
3,2375,1748.424
4,2525.999,1782.942
5,2536.334,2094.314
6,1960.667,1905.215
7,2437,2759.937
8,2538,2959.842
9,4958.999,3123.642
10,1908.334,1892.402
11,1628.867,1456.689
12,2073.967,1654.371
1,1866.034,1774.477
2,1898.134,1534.194
3,2844.523,1748.424
4,2358.857,1782.942
5,4262.286,2094.314
6,2093,1905.215
7,3043.144,2759.937
8,2604.056,2959.842
9,10555.8,3123.642
10,1467,1892.402
11,1357,1456.689
12,2374.858,1654.371
1,1677.714,1774.477
2,1702.429,1534.194
3,2304.445,1748.424
4,1960.555,1782.942
5,2382.666,2094.314
6,3021.606,1905.215
7,1294.977,2759.937
8,3142.75,2959.842
9,2376,3123.642
10,2834.555,1892.402
11,1847.333,1456.689
12,2093.361,1654.371
1,2315.875,1774.477
2,1960.875,1534.194
3,2055.2,1748.424
4,2283.8,1782.942
5,1979.8,2094.314
6,1912.2,1905.215
7,4550.5,2759.937
8,3005.5,2959.842
9,2293,3123.642
10,2439,1892.402
11,2322.875,1456.689
12,1909.625,1654.371
1,1606.5,1774.477
2,1339.5,1534.194
3,1622.045,1748.424
4,1821.58,1782.942
5,2020.875,2094.314
6,1481,1905.215
7,4391.001,2759.937
8,3825.333,2959.842
9,883.7842,3123.642
10,1530.382,1892.402
11,1405.928,1456.689
12,1304.904,1654.371
1,1899.524,1774.477
2,2370.143,1534.194
3,1728,1748.424
4,1746.25,1782.942
5,2414.25,2094.314
6,2076.5,1905.215
7,2272,2759.937
8,2387.25,2959.842
9,1302.536,3123.642
10,1385.464,1892.402
11,1267.25,1456.689
12,1330.5,1654.371
1,3133.5,1774.477
2,1206.5,1534.194
3,832,1748.424
4,1287.834,1782.942
5,1923.767,2094.314
6,856.0501,1905.215
7,1911.349,2759.937
8,4484.166,2959.842
9,1281.167,3123.642
10,1058.542,1892.402
11,831.2361,1456.689
12,903.6584,1654.371
1,1720.231,1774.477
2,881.5002,1534.194
3,1102.5,1748.424
4,1173.941,1782.942
5,1014.809,2094.314
6,1222.393,1905.215
7,1863.857,2759.937
8,2335.125,2959.842
9,2136.876,3123.642
10,1351.364,1892.402
11,1106.903,1456.689
12,1126.067,1654.371
1,1183.667,1774.477
2,526.6667,1534.194
3,872.1074,1748.424
4,887.6605,1782.942
5,314.0434,2094.314
6,2523.521,1905.215
7,3075.599,2759.937
8,2316.4,2959.842
9,2324.618,3123.642
10,1142.881,1892.402
11,855,1456.689
12,1116.056,1654.371
1,685.4443,1774.477
